operands_A,operands_B,sel,switching_power
3743248094,743130724,1,0.0240683
1371295048,3550999679,0,0.0209215
1949036538,3157206897,0,0.0219247
2984766900,1929504927,1,0.0243401
3595583662,3078025150,0,0.0216789
1572645108,3653935047,1,0.02512
2157026310,341948155,1,0.0185872
2024721103,718279913,0,0.0177649
3690710707,3119928799,0,0.0249503
2510844044,1195948440,1,0.0189414
98889013,3479151239,0,0.0200372
1674710319,1364946937,0,0.0206677
797015856,587501019,1,0.0208197
855438499,477819164,1,0.0230879
1266362764,3812056261,1,0.0228518
3031982520,3557485291,0,0.0182726
378959249,1192565387,0,0.0163811
2523823915,1672267405,0,0.0201601
2538274245,4018841955,0,0.0209175
1438473234,1873091067,1,0.0238678
2921103023,640739795,1,0.0238321
411291289,3059924658,1,0.0215996
2151253651,615729997,0,0.0155008
4255576035,1846803573,1,0.0277425
2927740427,334449128,1,0.0210916
214119898,3017560949,0,0.0195336
3425091886,3907882895,0,0.0196605
1449314270,3568987710,1,0.024612
3686367607,1898620162,1,0.021682
4039124587,1835217864,0,0.0171385
1063240930,2399449110,1,0.021682
869697833,859964879,1,0.0201936
1723113007,4023608616,0,0.0204139
2518627658,1115691084,1,0.0177717
3658489472,670577033,0,0.0149972
3036615212,1328992113,0,0.0205408
2139531963,147651297,0,0.0195296
1299593239,1195530588,1,0.0208197
2089819328,647280243,0,0.0161313
639841514,2469504682,0,0.016508
3881048384,958342873,0,0.0172654
1611747922,1784417,1,0.0155391
1096835695,1507644997,0,0.0172654
2874865216,2594070091,1,0.0228518
3056915972,1106165125,0,0.017769
1315984220,2818832249,0,0.0182726
3933471191,3369428236,1,0.0208197
1672778884,1486055955,0,0.0153739
81541245,3474902040,1,0.0212096
4038194145,410333791,0,0.0191529
255629159,3583288625,1,0.0225799
2583045534,2328958529,0,0.0166308
4273983418,1265165351,0,0.0220475
94941308,632015618,1,0.0189414
3676011000,812634223,1,0.0248481
3706078890,1899651189,1,0.0219538
2023784412,3303657980,0,0.0204139
2078451935,3536619511,1,0.0258642
3891563824,3994985763,0,0.0192798
3863374114,2870225363,1,0.0200755
2090213407,2238263247,1,0.0222257
183846350,4258741126,0,0.0212982
169572776,3986568704,1,0.0200755
3173473362,2884376228,0,0.0186493
143211757,2863432623,1,0.0210916
2048562793,490474412,0,0.0175152
2811008306,1904366972,0,0.0170116
3599895150,3511056427,1,0.0207016
2554917165,1504786070,1,0.0205836
2458221841,1077659546,0,0.016508
207986054,2323142693,1,0.0190595
860275535,1922580219,0,0.0200372
1407416188,2024639157,0,0.0207906
1317520711,2703606997,1,0.0208197
2812679017,3697515112,1,0.0218357
4069339845,3132076750,0,0.0206677
921102916,1083302437,0,0.0149931
640068851,1558431694,1,0.0233598
