operands_A,operands_B,opcode,switching_power
2199738444,3368991553,ALU_SUB,0.21250500000000005
288585067,1147599495,ALU_OR,0.33946
4211507003,1803257551,ALU_COPY_B,0.375755
296673389,410362049,ALU_XOR,0.23106999999999997
1468323218,3345228545,ALU_OR,0.238106
1771689982,1494445757,ALU_XXX,0.376303
79503993,188802419,ALU_SLTU,0.29093
2154407422,4260494546,ALU_SLTU,0.26561
1140644064,1594006481,ALU_SLL,0.280831
3404430078,1880354260,ALU_OR,0.291759
391891353,3369610764,ALU_ADD,0.22592
1717164885,1895610757,ALU_OR,0.312552
920055010,2926579197,ALU_SRL,0.342304
1892470346,2753726272,ALU_COPY_B,0.162298
1665164480,651397442,ALU_OR,0.205945
1730238460,2499274020,ALU_SRL,0.24426900000000001
1887168737,2122313370,ALU_XOR,0.300065
108278425,2089768516,ALU_SLTU,0.202126
1813271478,31023712,ALU_SRA,0.157498
4037184197,1827515435,ALU_ADD,0.288273
4028884951,3852291738,ALU_OR,0.298021
2106002868,3743925840,ALU_SLL,0.240923
3742197263,2708333107,ALU_SUB,0.30198600000000003
759438420,891195968,ALU_SUB,0.154584
3021052494,1894144080,ALU_XOR,0.172899
3009692157,3082036165,ALU_ADD,0.277217
142932380,3081787395,ALU_SLT,0.245459
3359211575,297376621,ALU_SLT,0.25964899999999996
2328311789,2576155114,ALU_XOR,0.280407
932044634,990824986,ALU_SRA,0.308739
1917885723,2748182879,ALU_AND,0.343663
3234843011,304247243,ALU_OR,0.286881
903705119,496260204,ALU_XXX,0.271487
1337532857,4230352958,ALU_SLT,0.308546
1451935000,706541226,ALU_SRA,0.242215
528214313,922607278,ALU_XXX,0.353394
536683201,977515291,ALU_SLL,0.351979
2509868536,4072608858,ALU_COPY_B,0.303284
3241310002,2708603518,ALU_COPY_B,0.288995
2621011929,2032425309,ALU_AND,0.323608
1983206713,1401318013,ALU_SLL,0.336988
1330451236,3017288228,ALU_XOR,0.203822
2078095540,1707515973,ALU_OR,0.305751
224963848,3296691099,ALU_SLT,0.311868
4120038115,1586952205,ALU_ADD,0.311596
258450704,2337142823,ALU_OR,0.329844
1527306156,1200999773,ALU_SLL,0.331564
660131381,2919576569,ALU_OR,0.304818
607516002,106697857,ALU_OR,0.238801
2873333136,4284363237,ALU_ADD,0.267872
2029463632,2288483060,ALU_SLL,0.257562
